run,pass,cooldown_ms,variant,e2e_ns,rcm_ns
3,7,0,MaybeUninit,30292.0,16371.2
3,7,0,inline-always,30619.8,16698.2
3,7,0,asm-opt,30206.4,16294.4
3,8,0,ref+ref,30565.1,16668.9
3,8,0,ref+owned,30760.5,16803.5
3,8,0,MaybeUninit,30356.4,16411.5
3,8,0,inline-always,30656.7,16721.8
3,8,0,asm-opt,30276.5,16336.8
3,9,0,ref+ref,30644.5,16710.8
3,9,0,ref+owned,30807.4,16829.3
3,9,0,MaybeUninit,30381.5,16404.3
3,9,0,inline-always,30661.1,16722.7
3,9,0,asm-opt,30312.5,16361.0
3,10,0,ref+ref,30574.5,16677.4
3,10,0,ref+owned,30802.0,16830.2
3,10,0,MaybeUninit,30474.8,16472.8
3,10,0,inline-always,30758.2,16780.7
3,10,0,asm-opt,30404.9,16414.1
3,1,100,ref+ref,33397.2,18219.3
3,1,100,ref+owned,34613.7,18896.0
3,1,100,MaybeUninit,34244.0,18500.8
3,1,100,inline-always,34308.8,18716.2
3,1,100,asm-opt,33696.4,18174.5
3,2,100,ref+ref,34813.7,18976.9
3,2,100,ref+owned,34157.6,18658.4
3,2,100,MaybeUninit,33439.1,18058.7
3,2,100,inline-always,32629.9,17795.3
3,2,100,asm-opt,33483.8,18057.9
3,3,100,ref+ref,34352.7,18725.3
3,3,100,ref+owned,34533.6,18842.6
3,3,100,MaybeUninit,34137.8,18435.0
3,3,100,inline-always,34527.1,18818.3
3,3,100,asm-opt,33154.6,17880.2
3,4,100,ref+ref,33080.8,18049.7
3,4,100,ref+owned,32751.0,17900.2
3,4,100,MaybeUninit,31967.0,17279.4
3,4,100,inline-always,32549.7,17756.3
3,4,100,asm-opt,31901.3,17221.4
3,5,100,ref+ref,31841.5,17378.9
3,5,100,ref+owned,33863.9,18503.4
3,5,100,MaybeUninit,33902.5,18324.1
3,5,100,inline-always,32977.9,17996.1
3,5,100,asm-opt,33292.5,17964.0
3,6,100,ref+ref,32373.2,17663.9
3,6,100,ref+owned,33045.7,18057.4
3,6,100,MaybeUninit,33163.6,17923.0
3,6,100,inline-always,32266.2,17601.2
3,6,100,asm-opt,32059.4,17306.7
3,7,100,ref+ref,32674.7,17824.6
3,7,100,ref+owned,33263.9,18172.0
3,7,100,MaybeUninit,33592.4,18156.0
3,7,100,inline-always,32332.2,17638.9
3,7,100,asm-opt,33629.8,18141.0
3,8,100,ref+ref,32917.3,17960.8
3,8,100,ref+owned,33327.2,18208.3
3,8,100,MaybeUninit,34021.6,18379.5
3,8,100,inline-always,32974.7,17993.0
3,8,100,asm-opt,31757.7,17138.1
3,9,100,ref+ref,32877.7,17949.0
3,9,100,ref+owned,33388.0,18231.7
3,9,100,MaybeUninit,32813.2,17735.5
3,9,100,inline-always,33098.4,18059.2
3,9,100,asm-opt,32820.9,17716.4
3,10,100,ref+ref,32662.9,17823.0
3,10,100,ref+owned,32863.4,17956.9
3,10,100,MaybeUninit,33985.7,18358.9
3,10,100,inline-always,32892.5,17948.9
3,10,100,asm-opt,32907.0,17754.5
3,1,600,ref+ref,37365.3,20364.1
3,1,600,ref+owned,37572.3,20512.4
